observableId	simulationConditionId	measurement	time	noiseParameters
pEGFRtotId	model_a_1	1.14	240.0	0.05
pGAREMtotId	model_a_1	0.26	240.0	0.05
pGAB1totId	model_a_1	0.00	240.0	0.05
pSHC1totId	model_a_1	0.00	240.0	0.05
aRasId	model_a_1	0.40	240.0	0.05
pEGFRtotId	model_a_2	0.01	240.0	0.05
pGAREMtotId	model_a_2	0.61	240.0	0.05
pGAB1totId	model_a_2	0.11	240.0	0.05
pSHC1totId	model_a_2	0.13	240.0	0.05
aRasId	model_a_2	0.36	240.0	0.05
pEGFRtotId	model_a_3	2.91	240.0	0.05
pGAREMtotId	model_a_3	0.78	240.0	0.05
pGAB1totId	model_a_3	0.09	240.0	0.05
pSHC1totId	model_a_3	0.63	240.0	0.05
aRasId	model_a_3	0.8	240.0	0.05
pEGFRtotId	model_a_4	3.22	240.0	0.05
pGAREMtotId	model_a_4	0.93	240.0	0.05
pGAB1totId	model_a_4	1.09	240.0	0.05
pSHC1totId	model_a_4	1.12	240.0	0.05
aRasId	model_a_4	1.56	240.0	0.05
pEGFRtotId	model_a_5	10.41	240.0	0.05
pGAREMtotId	model_a_5	1.37	240.0	0.05
pGAB1totId	model_a_5	2.4	240.0	0.05
pSHC1totId	model_a_5	2.83	240.0	0.05
aRasId	model_a_5	5.6	240.0	0.05
pEGFRtotId	model_a_6	19.8	240.0	0.05
pGAREMtotId	model_a_6	2.0	240.0	0.05
pGAB1totId	model_a_6	3.3	240.0	0.05
pSHC1totId	model_a_6	5.63	240.0	0.05
aRasId	model_a_6	4.44	240.0	0.05
pEGFRtotId	model_a_7	25.91	240.0	0.05
pGAREMtotId	model_a_7	1.73	240.0	0.05
pGAB1totId	model_a_7	3.23	240.0	0.05
pSHC1totId	model_a_7	6.0	240.0	0.05
aRasId	model_a_7	5.34	240.0	0.05
pEGFRtotId	model_a_8	24.81	240.0	0.05
pGAREMtotId	model_a_8	1.76	240.0	0.05
pGAB1totId	model_a_8	2.78	240.0	0.05
pSHC1totId	model_a_8	5.51	240.0	0.05
aRasId	model_a_8	5.84	240.0	0.05
pEGFRtotId	model_a_9	33.14	240.0	0.05
pGAREMtotId	model_a_9	1.81	240.0	0.05
pGAB1totId	model_a_9	2.96	240.0	0.05
pSHC1totId	model_a_9	5.76	240.0	0.05
aRasId	model_a_9	8.32	240.0	0.05
pEGFRtotId	model_b_1	1.14	240.0	0.05
pGAREMtotId	model_b_1	0.26	240.0	0.05
pGAB1totId	model_b_1	0.0	240.0	0.05
pSHC1totId	model_b_1	0.0	240.0	0.05
pShp2totId	model_b_1	0.0	240.0	0.05
aRasId	model_b_1	2.02	240.0	0.05
pEGFRtotId	model_b_2	0.01	240.0	0.05
pGAREMtotId	model_b_2	0.61	240.0	0.05
pGAB1totId	model_b_2	0.11	240.0	0.05
pSHC1totId	model_b_2	0.13	240.0	0.05
pShp2totId	model_b_2	0.0	240.0	0.05
aRasId	model_b_2	4.91	240.0	0.05
pEGFRtotId	model_b_3	2.91	240.0	0.05
pGAREMtotId	model_b_3	0.78	240.0	0.05
pGAB1totId	model_b_3	0.09	240.0	0.05
pSHC1totId	model_b_3	0.63	240.0	0.05
pShp2totId	model_b_3	0.0	240.0	0.05
aRasId	model_b_3	10.08	240.0	0.05
pEGFRtotId	model_b_4	3.22	240.0	0.05
pGAREMtotId	model_b_4	0.93	240.0	0.05
pGAB1totId	model_b_4	1.09	240.0	0.05
pSHC1totId	model_b_4	1.12	240.0	0.05
pShp2totId	model_b_4	2.13	240.0	0.05
aRasId	model_b_4	13.9	240.0	0.05
pEGFRtotId	model_b_5	10.41	240.0	0.05
pGAREMtotId	model_b_5	1.37	240.0	0.05
pGAB1totId	model_b_5	2.4	240.0	0.05
pSHC1totId	model_b_5	2.83	240.0	0.05
pShp2totId	model_b_5	4.53	240.0	0.05
aRasId	model_b_5	17.58	240.0	0.05
pEGFRtotId	model_b_6	19.8	240.0	0.05
pGAREMtotId	model_b_6	2.0	240.0	0.05
pGAB1totId	model_b_6	3.3	240.0	0.05
pSHC1totId	model_b_6	5.63	240.0	0.05
pShp2totId	model_b_6	5.7	240.0	0.05
aRasId	model_b_6	18.67	240.0	0.05
pEGFRtotId	model_b_7	25.91	240.0	0.05
pGAREMtotId	model_b_7	1.73	240.0	0.05
pGAB1totId	model_b_7	3.23	240.0	0.05
pSHC1totId	model_b_7	6.0	240.0	0.05
pShp2totId	model_b_7	4.86	240.0	0.05
aRasId	model_b_7	19.5	240.0	0.05
pEGFRtotId	model_b_8	24.81	240.0	0.05
pGAREMtotId	model_b_8	1.76	240.0	0.05
pGAB1totId	model_b_8	2.78	240.0	0.05
pSHC1totId	model_b_8	5.51	240.0	0.05
pShp2totId	model_b_8	3.44	240.0	0.05
aRasId	model_b_8	19.17	240.0	0.05
pEGFRtotId	model_b_9	33.14	240.0	0.05
pGAREMtotId	model_b_9	1.81	240.0	0.05
pGAB1totId	model_b_9	2.96	240.0	0.05
pSHC1totId	model_b_9	5.76	240.0	0.05
pShp2totId	model_b_9	3.93	240.0	0.05
aRasId	model_b_9	19.60	240.0	0.05
