parameterId	parameterScale	lowerBound	upperBound	nominalValue	estimate
kp1	log10	0.00175	0.028	0.007	1
kp5	log10	0.025	0.4	0.1	1
k_p5	log10	0.05	0.8	0.2	1
k2	log10	0.1	1.6	0.4	1
kp2	log10	0.00575	0.092	0.023	1
k_2a	log10	0.015	0.24	0.06	1
k_3	log10	0.125	2.0	0.5	1
k5	log10	0.195	3.12	0.78	1
kp3	log10	0.00375	0.06	0.015	1
k_5a	log10	0.02	0.32	0.08	1
k6	log10	0.02875	0.46	0.115	1
kp4	log10	0.0175	0.28	0.07	1
k_6a	log10	0.025	0.4	0.1	1
k_9	log10	0.125	2.0	0.5	1
k10	log10	0.005	0.08	0.02	1
k_10	log10	0.125	2.0	0.5	1
k11	log10	0.025	0.4	0.1	1
k_11	log10	0.00275	0.044	0.011	1
k12	log10	0.2	3.2	0.8	1
k13	log10	0.125	2.0	0.5	1
k14	log10	0.025	0.4	0.1	1
k_14	log10	0.025	0.4	0.1	1
k15	log10	0.2	3.2	0.8	1
k16	log10	0.125	2.0	0.5	1
k17	log10	0.0625	0.1.0	0.25	1
k18	log10	0.00375	0.06	0.015	1
k19	log10	0.125	2.0	0.5	1
